,0
325,"USAID, which has dispatched a team to Haiti to help relief efforts, pointed Reuters to recent congressional testimony by Barbara Feinstein, acting senior deputy assistant administrator within its bureau for Latin America and the Caribbean."
326,"Feinstein highlighted improvements in infant mortality rates in Haiti and said that in 2020 alone, USAID had supported the vaccination of more than 75,000 children there and provided care to tens of thousands of women and newborn babies."
327,"USAID had also benefited local farming, with its investments supporting 105,000 farmers to adopt new technologies, generating nearly $30 million in agricultural sales, she said."
328,MISSING AID
329,Haiti's government complained after the 2010 quake that aid was too slow to materialize.
330,"Six months after the disaster, it said it had received less than2 percent of the promised support, despite pledges by the U.N. special envoy for Haiti, former U.S. President Bill Clinton, to ""build Haiti back better""."
331,"A 2012 study by Tulane University found that while some aid exceeded the population's needs in affected areas, humanitarian efforts did not contribute significantly to making Haiti more resilient to disasters and may even have ""caused harm."""
332,"It argued the humanitarian response often undermined Haitian organizations due to the poaching of staff, and because they could not compete with larger, international NGOs for support, or lacked access to the decision-making process."
333,The American Red Cross in particular has been singled out for what critics said was the low impact of some $500 million in donations it received after the 2010 quake.
334,"""Donate to HAITIAN ORGANIZATIONS ONLY!"
335,Can't stress this enough.
336,"Haiti Based ONLY,"" Jessie Woo, a Haitian-American comedienne, said on Twitter."
337,"""DO NOT DONATE ANY MONEY TO THE RED CROSS REGARDING HAITI."""
338,The American Red Cross has said it spent 91 cents of every dollar of that money in programs to help the people of Haiti.
339,"In a statement to Reuters, the American Red Cross said it ""strongly disputes negative reporting of our past work in Haiti"" and had made a significant impact there."
340,"This included investment in more than 50 hospitals and clinics, safer housing for more than 22,000 families, funding for Haiti's first wastewater treatment plant and support for the country's first-ever cholera vaccination campaign."
341,"""Americans donated generously in the aftermath of the 2010 Haiti earthquake to save lives - which is exactly what their donations did,"" it said."
342,Controversies linked to foreign intervention have reinforced a sense of public mistrust.
343,"A sexual misconduct scandal that surfaced in 2018 centering on Oxfam International tarnished the name of relief workers in Haiti, while a cholera outbreak linked to U.N. peacekeepers in the country after the 2010 quake led to thousands of deaths."
344,"Even as countries like Mexico began flying in aid, Haiti's government urged donors to go through its civil protection agency to better coordinate efforts this time."
345,"""As we want to avoid the proliferation of tented camps, the ministry asks NGOs to distribute tents and tarpaulins to the identified people whose homes have been damaged to enable them to spend the night close to their residence,"" it said."
346,"Over 1 million survivors of the 2010 quake spent months in makeshift tent camps crammed into Port-au-Prince, exposing them to the elements, lawlessness and the cholera outbreak."
347,The Caribbean Disaster Emergency Management Agency (CDEMA) said on Monday that Haiti's government was preparing a needs list and had asked for cash donations so humanitarian goods could be bought in the country.
348,A major criticism of the 2010 response was that imports of foreign aid damaged Haitian farming and commerce.
349,"One diplomat, who asked not to be identified, expressed confidence that the ad hoc government Haiti had assembled after Moise's assassination seemed to be taking a ""big leap forward"" in coordinating aid efforts."
350,"But Haiti, which has only just begun administering its first publicly distributed vaccines against COVID-19, may not be in the spotlight as much this time, with events such as the U.S. pullout from Afghanistan dominating the news, argued Katz."
351,"""I think it's going to get a lot less attention than the 2010 earthquake,"" he said."
352,Our Standards: The Thomson Reuters Trust Principles.
353,Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.
354,"U.S. border agents are removing groups of mostly Haitian migrants from a large makeshift camp they had set up after wading across the Rio Grande separating Mexico and the United States, as the first repatriation flight arrived in Haiti on Sunday."
355,"Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day."
356,"Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers."
357,"Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology."
358,The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs.
359,"The industry leader for online information for tax, accounting and finance professionals."
360,"Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface."
361,"Access to real-time, reference, and non-real time data in the cloud to power your enterprise."
362,Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks.
363,All quotes delayed a minimum of 15 minutes.
364,See here for a complete list of exchanges and delays.
365,© 2021 Reuters.
366,All rights reserved
367,"A car drives past a damaged road, after the earthquake that took place on August 14th, in Marceline, near Les Cayes, Haiti August 20, 2021."
368,REUTERS/Henry Romero
369,"MARCELINE, Haiti, Aug 20 (Reuters) - Haitians desperate for food looted a humanitarian convoy on Friday and fought over donations as anger built over the slow pace of aid deliveries almost a week after a devastating earthquake killed more than 2,000 people."
370,"Damaged or impassable roads have hindered efforts to deliver aid to remote parts in the south of the impoverished Caribbean nation, which were hardest-hit by last Saturday's 7.2 magnitude earthquake."
371,"With hundreds still missing, hopes are fading of finding anyone still alive."
372,Aid organization Food for the Poor said that four of its trucks were attacked by local residents and looted on Friday as they delivered food and water to rural communities in the south.
373,"Neither the drivers nor the trucks were harmed, the charity said, and five other trucks were able to reach their destinations safely."
374,"""Food For The Poor remains committed to its mission of helping those affected by this terrible tragedy,"" it said in a statement, adding that its staff were working hard to reach the most remote communities in need."
375,"In the hard-hit city of Les Cayes, scuffles broke out after former President Michel Martelly visited a local hospital on Friday afternoon."
376,"A member of his staff gave an envelope filled with cash to one person in the crowd to be distributed amongst them, triggering a violent scramble for the money, a Reuters witness said."
377,Landslides and cracks in the tarmac on the mountain road between Les Cayes and Jeremie to its northwest - two of the worst-affected urban areas - made it harder to dispatch aid to farming communities short of food and drinkable water.
378,The route was littered with boulders and the occasional stranded truck.
379,"""We are all absolutely overwhelmed,"" Prime Minister Ariel Henry said in a meeting with the Organization of American States, saying some communities had been flattened."
380,"""Every commune, every city, every village in that area was very hard hit."""
381,Henry thanked foreign allies for sending assistance.
382,"The poorest country in the Americas, Haiti is still recovering from a 2010 quake that killed over 200,000 people."
383,It was pitched into deeper instability by the assassination on July 7 of President Jovenel Moise by what authorities say was a group of largely Colombian mercenaries.
384,"Last Saturday's quake destroyed tens of thousands of homes and claimed the lives of at least 2,189 people."
385,"Some 332 people are missing, while 12,200 people were injured, authorities said."
386,A powerful storm this week that triggered landslides made the search for victims even harder.
387,Many hospitals remained saturated in the worst-hit areas.
388,"At Les Cayes' airport, helicopters ferried the injured to the capital, Port-au-Prince."
389,"The kidnapping by gangs of two doctors in the capital, including one of the few trained orthopedic surgeons in Haiti, has added to the strain."
390,"Some hospitals shut down temporarily in protest, demanding the doctors be released, local media reported."
391,DIGGING GRAVES
392,"In the village of Marceline, 25 km (16 miles) north of Les Cayes, hundreds of people gathered to receive food and medical care at a mobile clinic and aid distribution effort organized by Haitian non-profit PWOP."
393,"One of the patients was a girl who had debris embedded in a gash just below her knee, which cut down to the bone."
394,She screamed in pain as the doctors cleaned and disinfected the wound without anesthesia.
395,"Elsewhere in the village, some people dug graves to prepare for funerals, while other residents worked to remove a massive heap of rubble in efforts to find the remains of loved ones."
396,The air smelled of decomposing bodies.
397,Amerlin Dorcy surveyed the rescue efforts.
398,His mother Seralia Dejoit had been attending a voodoo ceremony in the house when the quake struck.
399,"""She's still missing."
400,"We don't even have her body to bury,"" said Dorcy, explaining that his mother had been called upon to sing at the ceremony by the head priestess."
401,"The calamity brought back memories for Dorcy of the 2010 quake, which he survived by fleeing the collapsing three-story building he was inside in Port-au-Prince."
402,"""Now there's another earthquake and it's my mother who's the victim,"" he said."
403,Our Standards: The Thomson Reuters Trust Principles.
404,Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.
405,"U.S. border agents are removing groups of mostly Haitian migrants from a large makeshift camp they had set up after wading across the Rio Grande separating Mexico and the United States, as the first repatriation flight arrived in Haiti on Sunday."
406,"Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day."
407,"Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers."
408,"Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology."
409,The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs.
410,"The industry leader for online information for tax, accounting and finance professionals."
411,"Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface."
412,"Access to real-time, reference, and non-real time data in the cloud to power your enterprise."
413,Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks.
414,All quotes delayed a minimum of 15 minutes.
415,See here for a complete list of exchanges and delays.
416,© 2021 Reuters.
417,All rights reserved
418,"A U.S. Coast Guard helicopter lifts off during a medical evacuation of people injured in Saturday's 7.2 magnitude earthquake, in Les Cayes, Haiti, August 17, 2021."
419,REUTERS/Estailove St-Val
420,"LES CAYES, Aug 18 (Reuters) - Days before a powerful earthquake struck, Rosemond Clermont paid the $1,554 rent on the office of his construction business in southern Haiti for the rest of the year."
421,"On Saturday morning, the investment vanished when his small shop collapsed along with hundreds of other buildings in his home town as the coastal city of Les Cayes began crumbling."
422,"""I don't know what to do."
423,"I'm still in shock,"" said Clermont, 36, the main breadwinner for a family of four."
424,"Dozens of businesses ranging from hotels, restaurants to corner shops in downtown Les Cayes and surrounding areas suffered a similar fate, with premises either badly damaged or flattened."
425,Clermont said the loss capped a tough few years.
426,"He opened the construction business four years ago with the help of a bank loan worth $5,180 to supplement another job at a cell phone service provider, worried that he otherwise would not be able to feed his wife, daughter, 4, and 1-year-old son."
427,The loan saddled Clermont with a monthly debt of $207 that he is struggling to pay off.
428,"""The economic situation is so much worse than before,"" he said."
429,"""I owe money to the bank, we have nowhere to sleep, and I have my family to feed."""
430,"Since a devastating earthquake that killed tens of thousands of people in 2010, Haiti's economy has been buffeted by chronic political instability, drought and a major hurricane in 2016."
431,"Opposition-backed protests against the government dragged Haiti into recession in 2019 before the coronavirus pandemic even hit, and a steady deprecation in the gourde currency has put pressure on businesses heavily reliant on foreign imports."
432,"Haitian economist Etzer Emile told Reuters that in the past, small businesses have been overlooked in post-disaster responses."
433,"""And that's the big mistake,"" he said."
434,"""Because these entities are the very backbone of the national economy."""
435,"Clermont's family has been spending nights in the car since the earthquake, scared of possible structural damage at their home after they watched the walls shake violently."
436,"The entire facade of Clermont's office has gone, and as he stood outside the now empty shell, he warily kept his distance from the battered building lest it crumble further."
437,"""I don't know how to get out of this,"" he said."
438,"""It's a crisis for me."""
439,Our Standards: The Thomson Reuters Trust Principles.
440,Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.
441,"U.S. border agents are removing groups of mostly Haitian migrants from a large makeshift camp they had set up after wading across the Rio Grande separating Mexico and the United States, as the first repatriation flight arrived in Haiti on Sunday."
442,"Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day."
443,"Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers."
444,"Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology."
445,The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs.
446,"The industry leader for online information for tax, accounting and finance professionals."
447,"Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface."
448,"Access to real-time, reference, and non-real time data in the cloud to power your enterprise."
449,Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks.
450,All quotes delayed a minimum of 15 minutes.
451,See here for a complete list of exchanges and delays.
452,© 2021 Reuters.
453,All rights reserved
454,Discover Thomson Reuters
455,"Posted August 24, 2021"
456,"Many survivors of the earthquake that killed more than 2,200 people in southern Haiti are growing worried about how they will provide for their children."
457,Load More
458,Load More
459,Haiti quake survivors fear for children's future
460,All quotes delayed a minimum of 15 minutes.
461,See here for a complete list of exchanges and delays.
462,One desperate moment: Migrants collecting food try to evade law enforcement at U.S.-Mexico border
463,"LES CAYES, Haiti, Aug 17 (Reuters) - Survivors of the earthquake that killed at least 1,941 people in Haiti clamored for food, shelter and medical care on Tuesday as search and rescue efforts resumed after a tropical storm lashed the Caribbean nation with rain, causing dangerous flooding."
464,"Quake damage to several major hospitals hampered humanitarian efforts, and doctors in makeshift tents outside battled to save the lives of the many injured, including young children and the elderly."
465,But they could not help them all.
466,"""There weren't enough doctors and now she's dead,"" said Lanette Nuel, sitting listlessly next to her daughter's body outside the main hospital of Les Cayes, one of the towns worst hit by both the tremor and the storm's heavy rains and winds."
467,"The 26-year-old deceased woman, herself a mother of two, had been crushed by debris during the magnitude 7.2 quake."
468,Now she lay under a white sheet on the floor.
469,"""We came in yesterday afternoon, she died this morning."
470,"I can't do anything,"" her mother said."
471,"Saturday's quake knocked down tens of thousands of buildings in the poorest country in the Americas, which is still recovering from a temblor 11 years ago that killed over 200,000 people."
472,"Aside from the dead, the latest quake also injured at least 9,915, with many people still missing or under the rubble, the civil protection service said on Tuesday afternoon."
473,Relief efforts were already complicated due to political turmoil and difficult road access from the capital to the south due to gang control of key points.
474,"Flash flooding and landslides in the wake of Tropical Storm Grace, which by Tuesday afternoon had continued on past Jamaica, exacerbated the situation."
475,"""Countless Haitian families who have lost everything due to the earthquake are now living literally with their feet in the water due to the flooding,"" said Bruno Maes, the United Nations Children's Fund (UNICEF) representative in the country."
476,"""Right now, about half a million Haitian children have limited or no access to shelter, safe water, healthcare and nutrition."""
477,The United Nations said it had allocated $8 million in emergency funds to provide relief for affected people.
478,"Latin America countries including Venezuela, Chile, Mexico, Panama, Colombia and the neighboring Dominican Republic sent food, medicine and supplies."
479,The United States also dispatched supplies and search and rescue teams.
480,"Although criminal gangs have been blocking access roads for months, the United Nations Office for the Coordination of Human Affairs said ""successful negotiations"" had made it possible for a convoy to reach Les Cayes."
481,"Haitian firefighters search for survivors under the rubble of a destroyed building after Saturday's 7.2 magnitude quake, in Les Cayes, Haiti August 17, 2021."
482,REUTERS/Ricardo Arduengo
483,"The hospital in Les Cayes, about 150 km (90 miles) west of the capital Port-au-Prince, was even more overwhelmed on Tuesday than before as patients who had been camping outside moved indoors to escape the tropical storm."
484,Director Peterson Gede said medics were doing the best they could.
485,"""We couldn't handle all the patients,"" he said."
486,"""And we have been receiving supplies, but it's not enough."""
487,"At a tent city in Les Cayes containing many children and babies, over a hundred people scrambled to repair makeshift coverings made of wooden poles and tarps that were destroyed by Grace overnight."
488,Some took cover under plastic sheets.
489,"Mathieu Jameson, deputy head of the committee formed by the tent city residents, said hundreds of people there were in urgent need of food, shelter and medical care."
490,"""We don't have a doctor."
491,We don't have food.
492,Every morning more people are arriving.
493,"We have no bathroom, no place to sleep."
494,"We need food, we need more umbrellas,"" said Jameson, adding the tent city was still waiting for government aid."
495,SMELL OF DECAY
496,Haiti's latest natural disaster comes just over a month after the country was plunged into political turmoil by the July 7 assassination of President Jovenel Moise.
497,"U.S. national security adviser Jake Sullivan said on Tuesday it was too early to gauge the impact of the quake on Haiti's political process and that the United States, the country's main donor, had no current plans to deploy its military there."
498,read more
499,Rescue workers have been digging alongside residents through the rubble in a bid to reach survivors.
500,"On Tuesday morning 16 people were recovered alive alongside nine dead, Haitian civil protection authorities said."
501,"But hopes were fading, and a smell of dust and decomposing bodies permeated the air."
502,"""We came from all over to help: from the north, from Port-au Prince, from everywhere,"" said Maria Fleurant, a firefighter from northern Haiti."
503,"Prime Minister Ariel Henry, who was sworn in less then a month ago after Moise's assassination, vowed to disburse humanitarian aid better than in the wake of the 2010 quake."
504,"Though billions of dollars in aid poured into Haiti after that quake and Hurricane Matthew in 2016, many Haitians say they saw scant benefits from the uncoordinated efforts: government bodies remained weak, amid persistent shortages of food and basic goods."
505,"""The earthquake is a great misfortune that happens to us in the middle of the hurricane season,"" Henry told reporters."
506,"He said the government would not repeat ""the same things"" done in 2010."
507,Our Standards: The Thomson Reuters Trust Principles.
508,Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.
509,"U.S. border agents are removing groups of mostly Haitian migrants from a large makeshift camp they had set up after wading across the Rio Grande separating Mexico and the United States, as the first repatriation flight arrived in Haiti on Sunday."
510,"Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day."
511,"Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers."
512,"Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology."
513,The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs.
514,"The industry leader for online information for tax, accounting and finance professionals."
515,"Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface."
516,"Access to real-time, reference, and non-real time data in the cloud to power your enterprise."
517,Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks.
518,All quotes delayed a minimum of 15 minutes.
519,See here for a complete list of exchanges and delays.
520,© 2021 Reuters.
521,All rights reserved
522,"PORT-AU-PRINCE, Aug 15 (Reuters) - Haiti's hospitals were swamped on Sunday by thousands of injured residents after a devastating earthquake the day before killed at least 1,297 people as authorities raced to bring doctors to the worst-hit areas before a major storm hits."
523,The 7.2 magnitude quake on Saturday destroyed thousands of homes and buildings in a Caribbean nation which is still clawing its way back from another major temblor 11 years ago and is reeling from the assassination of its president last month.
524,"Southwestern Haiti bore the brunt of the blow, especially in the region in and around the town of Les Cayes."
525,"Haiti's Civil Protection Agency said the toll from the disaster had climbed to 1,297 and the hospitals that were still functioning were struggling to cope as some 5,700 people were injured."
526,"In the northwestern city of Jeremie, another badly hit area, doctors treated injured patients on hospital stretchers underneath trees and on mattresses by the side of the road, as healthcare centers have run out of space."
527,"""We do have a serious issue,"" Jerry Chandler, the head of Haiti's Civil Protection Agency, told Reuters."
528,"""There are very important facilities that are dysfunctional as we speak and those that are functional are receiving an overflow of patients,"" he said."
529,"The challenge facing Haiti has been exacerbated by the coronavirus pandemic, a severe economic downturn aggravated by fierce gang violence, and a political crisis that has engulfed the troubled nation after the assassination of President Jovenel Moise on July 7."
530,"Churches, hotels, hospitals and schools were badly damaged or destroyed, while the walls of a prison were rent open by the violent shudders that convulsed Haiti."
531,"Some 13,694 houses were destroyed, the civil protection agency said, suggesting the toll could rise further."
532,"In Les Cayes, a seafront town of some 90,000 people, rescuers in red hard hats and blue overalls pulled bodies from the tangled wreckage of one building, as a yellow mechanical excavator nearby helped to shift the rubble."
533,"Haiti's Prime Minister Ariel Henry, who flew to visit Les Cayes, praised the dignity shown by people there even in the midst of their suffering."
534,"""They are affected but resilient."
535,"They fight to survive,"" he said, thanking international agencies and foreign governments for their support."
536,"Nearby countries, including the Dominican Republic and Mexico, rushed to send desperately needed food and medicines by air and across Haiti's land border."
537,Colombia sent search and rescue personnel.
538,"The United States dispatched vital supplies and deployed a 65-person urban search-and-rescue team with specialized equipment, said Samantha Power, the administrator of the United States Agency for International Development (USAID)."
539,"From the Vatican, Pope Francis urged the international community to show support swiftly."
540,"""May solidarity from everyone lighten the consequences of the tragedy,"" he told pilgrims and tourists at his Sunday blessing in St. Peter's Square."
541,"However, Haiti's government appealed to aid organizations against setting up makeshift camps and urged them to work through the planning ministry, an apparent attempt to avoid the mistakes made following the devastating 2010 earthquake that killed tens of thousands of people."
542,"Soldiers and members of a rescue and protection team clean debris from a house after a 7.2 magnitude earthquake in Les Cayes, Haiti August 15, 2021."
543,REUTERS/Ralph Tedy Erol NO RESALES.
544,NO ARCHIVES
545,"Many Haitians prepared on Sunday to spend a second night sleeping in the open, traumatized by memories of that magnitude 7 quake 11 years ago that struck far closer to the sprawling capital, Port-au-Prince."
546,"At Port-au-Prince airport, international aid workers, doctors and rescue workers boarded flights to Les Cayes."
547,A U.S. Coast Guard helicopter ferried the wounded.
548,"The rescue and aid efforts will be complicated by Tropical Depression Grace, which is expected to lash Haiti with heavy rainfall on Monday."
549,"Some 75 to 100 milliliters of rainfall was expected, which may trigger landslides and cause some rivers to flood, Haiti's Civil Protection Agency said."
550,"""We ask the population to remain vigilant,"" the agency added."
551,"Thousands of people sleeping in the streets would be exposed to the torrential rains amid a rising risk of water-borne diseases, said Chandler, the head of the agency."
552,The death toll is expected to rise as telephone network has been down in more remote areas.
553,"In difficult-to-reach villages many houses were fragile and built on slopes vulnerable to landslides, said Alix Percinthe, from the ActionAid charity."
554,He said one local leader had informed him there were 47 deaths in his area not yet reported to regional authorities.
555,HUMANITARIAN CORRIDOR
556,Footage of Saturday's aftermath posted on social media showed residents reaching into narrow openings in piles of fallen masonry to pull shocked and distraught people from the debris of walls and roofs that had crumbled around them.
557,Access to the worst-hit areas was complicated by a deterioration in law and order that has left key access roads in parts of Haiti in the hands of gangs.
558,"In a video posted on social media, one gang leader said the armed groups had declared a truce along the route to Les Cayes."
559,Chandler said boats and helicopters were being used to bring in aid but the government was working to establish safe access by road.
560,A first convoy of aid had made it through by land to the region of Les Cayes.
561,"The United Nations called for a ""humanitarian corridor"" to be established so that aid can pass through gang-held territories."
562,"Following Moise's assassination, which authorities have alleged was carried out by a group of largely Colombian mercenaries and Haitian accomplices, Prime Minister Henry said officials would aim to hold elections for a new president as soon as possible."
563,"However, reports this week suggested that the vote initially earmarked for September would not take place until November."
564,The chaos unleashed by Saturday's disaster is likely to make the task of holding prompt elections harder still.
565,Haiti has long been politically unstable and Haitians have also suffered from problems stemming from international aid efforts and peace-keeping deployments during the past decade.
566,"A sexual misconduct scandal centering on Oxfam International blighted the record of charity workers in Haiti, while a cholera outbreak linked to U.N. peacekeepers led to thousands of deaths."
567,Our Standards: The Thomson Reuters Trust Principles.
568,Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.
569,"U.S. border agents are removing groups of mostly Haitian migrants from a large makeshift camp they had set up after wading across the Rio Grande separating Mexico and the United States, as the first repatriation flight arrived in Haiti on Sunday."
570,"Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day."
571,"Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers."
572,"Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology."
573,The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs.
574,"The industry leader for online information for tax, accounting and finance professionals."
575,"Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface."
576,"Access to real-time, reference, and non-real time data in the cloud to power your enterprise."
577,Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks.
578,All quotes delayed a minimum of 15 minutes.
579,See here for a complete list of exchanges and delays.
580,© 2021 Reuters.
581,All rights reserved
582,Discover Thomson Reuters
583,By Reuters Staff
584,1 Min Read
585,"Aug 14 (Reuters) - Another earthquake of magnitude 5.9 struck the Haiti region late on Saturday, the European Mediterranean Seismological Centre (EMSC) said, hours after a major quake in the region killed over 300 people."
586,"The latest quake was at a depth of 8km (4.97 miles), EMSC said."
587,(Reporting by Bhargav Acharya in Bengaluru; Editing by Christopher Cushing)
588,Our Standards: The Thomson Reuters Trust Principles.
589,More From Reuters
590,Trending Stories
591,All quotes delayed a minimum of 15 minutes.
592,See here for a complete list of exchanges and delays.
593,U.S. job growth rose solidly in July amid demand for workers in the services industry
594,"NAN KONSEY, Haiti, Aug 30 (Reuters) - In a tent encampment in the mountains of southern Haiti, where hundreds of villagers sought shelter after a powerful earthquake flattened their homes this month, single..."
595,Read more on reuters.com
596," CCTV footage captured the surprising moment a hawk attempted to steal a chicken from a farmyard, only to be driven away by the chicken’s farm animal …"
597," Ten years ago, the poultry muscle disease known as white striping was almost nonexistent."
598,"Now, the fat-boosting ailment shows up in 99% of U.S. …"
599," Jack Dwyer pursued a dream of getting back to the land by moving in 1972 to an idyllic, tree-studded parcel in Oregon with a creek running through it."
600," Architecture studio TYPE has converted the dilapidated Redhill Barn in Devon, England, into a house that retains its 200-year-old stone …"
601,Author Notes Reprinted from Martha Stewart’s Slow Cooker.
602,"Copyright © 2017 by Martha Stewart Living Omnimedia, Inc. Photographs copyright © 2017 by Stephen Kent Johnson."
603,"Published by Clarkson Potter/Publishers,..."
604," Over 12,900 migrants have attempted to cross into the small Texas border town."
605,The Biden administration over the weekend outlined steps it plans to …
606,"CIUDAD ACUÑA, MEXICO — A mounted U.S. Border Patrol agent shouted commands in a tense encounter with Haitian migrants wading through the Rio Grande near Del Rio, Texas."
607,As the Haitians tried to climb the...
608," Lionel Messi may not have scored for Paris Saint-Germain yet, but don't be fooled - he hasn't lost his touch."
609,Sunday night brought with it the much …
610,"A soldier cleans debris from a house after a 7.2 magnitude earthquake in Les Cayes, Haiti August 15, 2021."
611,REUTERS/Ralph Tedy Erol
612,"TOIRAC, Haiti, Aug 17 (Reuters) - When the ground began to tremble during a church funeral service in the small village of Toirac in southern Haiti, Kettney Francois was trampled in the frantic stampede to escape."
613,"Fellow mourners pulled her out from the crush of people and carried her outside, but her teenage daughter and elderly mother were not so lucky."
614,They were among the hundreds of people killed when a devastating earthquake struck Haiti early on Saturday.
615,Both died when the entrance and part of the ceiling to the St Famille du Toirac church collapsed.
616,Residents say an estimated 20 lives were lost in the building in the tight-knit rural community inland from the city of Les Cayes.
617,"""I was crying out, where's my mother?"
618,"Where's my daughter?,"" Francois said, sitting outside the church."
619,"As she spoke, she suddenly jolted forward in terror."
620,"""Since the earthquake, I keep thinking the ground is trembling, that it's happening again."""
621,"Authorities have confirmed the deaths of at least 1,419 people, with another 6,900 injured, even as rescue workers continue to sift through rubble searching for bodies in and around Les Cayes, the area which bore the brunt of the quake."
622,"The death toll is expected to rise as rescue workers penetrate remote areas like Toirac, which is nearly an hour's drive from the nearest hospital, and only accessible by rocky dirt roads now scarred by deep slashes rent by the earthquake."
623,Hundreds of residents are now sleeping outdoors beneath tarps or the canopy of banana trees that help sustain many local livelihoods.
624,"They worry about the incoming storm, Grace, but with their homes destroyed, they have few options."
625,More than a dozen residents interviewed by Reuters said they were still waiting for government aid and did not know if the deaths in the village estimated by residents to be between 40 and 50 had been included in the national toll.
626,"With so many dead, residents decided to bury victims of the church collapse in a mass grave in a nearby cemetery, said Prenor Lefleur, who helped move the bodies and dig the hole."
627,"""We just took down the names of all the victims and asked their families to sign for permission to bury them,"" Lefleur said."
628,"""We didn't know what else to do."""
629,Our Standards: The Thomson Reuters Trust Principles.
630,Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.
631,"U.S. border agents are removing groups of mostly Haitian migrants from a large makeshift camp they had set up after wading across the Rio Grande separating Mexico and the United States, as the first repatriation flight arrived in Haiti on Sunday."
632,"Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day."
633,"Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers."
634,"Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology."
635,The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs.
636,"The industry leader for online information for tax, accounting and finance professionals."
637,"Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface."
638,"Access to real-time, reference, and non-real time data in the cloud to power your enterprise."
639,Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks.
640,All quotes delayed a minimum of 15 minutes.
641,See here for a complete list of exchanges and delays.
642,© 2021 Reuters.
643,All rights reserved
644,"People carry coffins during the funeral of four family members after the earthquake that took place on August 14th, in Marceline near Les Cayes, Haiti August 21, 2021."
645,REUTERS/Henry Romero
646,"MARCELINE, Haiti, Aug 22 (Reuters) - Families gathered in villages in southwestern Haiti this weekend for church and funeral services a week after an earthquake battered the region, killing more than 2,200 people and destroying tens of thousands of buildings."
647,The collapse of churches in some of the worst-affected towns and villages of the impoverished Caribbean nation left residents to grieve in open fields.
648,"At the Paroisse Saint-Joseph de Simon Roman Catholic church on the outskirts of Les Cayes, a southwestern city that bore the brunt of the quake, about 200 worshipers gathered early for the first Sunday Mass since the disaster."
649,"""Everyone was crying today for what they had lost,"" said the priest, Marc Orel Saël."
650,"""And everyone is stressed because the Earth is still shaking,"" he added, referring to near-daily aftershocks that have rattled nerves all week."
651,The quake struck Haiti amid a period of political upheaval following the assassination of President Jovenel Moise last month.
